Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,finish_reason,vision_output_file,error
CM3060_L3,1,,,CM3060_L3.pptx,pptx,42,11,67,3,4,1.0,79,0.6401,0,0,0,0,2,0.0,11,15.87,14,87,2,7,0.2222,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p001.txt,
CM3060_L3,2,,,CM3060_L3.pptx,pptx,42,0,0,0,1,1.0,2,0.7986,1,0,0,0,0,1.0166,0,11.01,26,212,16,0,1.0,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p002.txt,
CM3060_L3,3,,,CM3060_L3.pptx,pptx,42,98,613,2,3,1.0,6,0.2536,1,0,0,1,2,0.1567,91,13.21,132,808,16,49,0.2462,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p003.txt,
CM3060_L3,4,,,CM3060_L3.pptx,pptx,42,68,396,2,3,1.0,6,0.2268,1,0,0,1,2,0.1567,61,12.78,114,666,21,34,0.3818,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p004.txt,
CM3060_L3,5,,,CM3060_L3.pptx,pptx,42,18,91,2,0,0.0,15,0.9968,1,0,0,2,2,0.2766,17,12.27,60,324,18,10,0.6429,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p005.txt,
CM3060_L3,6,,,CM3060_L3.pptx,pptx,42,15,80,2,0,0.0,15,0.9968,1,0,0,2,2,0.2766,14,14.44,83,445,26,9,0.7429,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p006.txt,
CM3060_L3,7,,,CM3060_L3.pptx,pptx,42,33,149,2,0,0.0,15,0.9967,1,0,0,2,2,0.2766,32,13.86,95,496,24,18,0.5714,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p007.txt,
CM3060_L3,8,,,CM3060_L3.pptx,pptx,42,148,944,9,2,1.0,8,0.9982,1,0,0,0,2,1.0,39,14.37,127,776,32,68,0.5926,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p008.txt,
CM3060_L3,9,,,CM3060_L3.pptx,pptx,42,103,707,3,0,0.0,7,0.1211,0,0,0,0,2,0.0,94,13.76,105,725,2,61,0.0317,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p009.txt,
CM3060_L3,10,,,CM3060_L3.pptx,pptx,42,159,1109,4,0,0.0,2,0.1035,0,0,0,0,3,0.0,148,14.94,160,1002,2,90,0.025,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p010.txt,
CM3060_L3,11,,,CM3060_L3.pptx,pptx,42,147,1001,5,0,0.0,2,0.1077,0,0,0,0,3,0.0,140,12.89,148,886,2,85,0.027,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p011.txt,
CM3060_L3,12,,,CM3060_L3.pptx,pptx,42,137,907,6,0,0.0,2,0.0843,0,0,0,0,3,0.0,125,12.10,130,874,2,46,0.0435,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p012.txt,
CM3060_L3,13,,,CM3060_L3.pptx,pptx,42,163,1033,6,1,0.0508,7,0.1527,1,0,0,0,3,0.0508,147,14.14,216,1409,20,54,0.2857,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p013.txt,
CM3060_L3,14,,,CM3060_L3.pptx,pptx,42,91,588,5,1,0.1447,2,0.0888,1,0,0,0,2,0.1451,85,15.39,290,1741,47,36,0.5663,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p014.txt,
CM3060_L3,15,,,CM3060_L3.pptx,pptx,42,156,1001,5,0,0.0,2,0.1068,0,0,0,0,2,0.0,151,12.89,159,1021,2,51,0.0377,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p015.txt,
CM3060_L3,16,,,CM3060_L3.pptx,pptx,42,39,279,3,1,0.1924,5,0.1607,1,0,0,0,2,0.1925,36,9.41,42,299,2,22,0.0833,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p016.txt,
CM3060_L3,17,,,CM3060_L3.pptx,pptx,42,89,593,4,1,0.1924,5,0.1888,1,0,0,0,2,0.1925,85,10.65,91,605,2,37,0.0513,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p017.txt,
CM3060_L3,18,,,CM3060_L3.pptx,pptx,42,59,361,4,1,0.1915,2,0.0782,1,0,0,0,3,0.1916,55,10.00,53,332,2,25,0.0952,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p018.txt,
CM3060_L3,19,,,CM3060_L3.pptx,pptx,42,61,369,4,1,0.4257,2,0.1295,1,0,0,0,3,0.4258,56,9.94,55,342,2,23,0.1053,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p019.txt,
CM3060_L3,20,,,CM3060_L3.pptx,pptx,42,85,488,3,2,0.2515,2,0.1302,2,0,0,0,3,0.2516,78,10.69,79,468,2,37,0.0588,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p020.txt,
CM3060_L3,21,,,CM3060_L3.pptx,pptx,42,30,179,3,1,0.1049,2,0.0791,1,0,0,0,3,0.1049,27,9.18,23,151,2,14,0.2,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p021.txt,
CM3060_L3,22,,,CM3060_L3.pptx,pptx,42,101,642,4,1,0.2793,2,0.1248,1,0,0,0,3,0.2794,95,11.20,94,613,2,38,0.0588,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p022.txt,
CM3060_L3,23,,,CM3060_L3.pptx,pptx,42,79,471,4,2,0.3534,2,0.209,2,0,0,0,3,0.3534,74,10.72,72,440,2,35,0.0645,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p023.txt,
CM3060_L3,24,,,CM3060_L3.pptx,pptx,42,63,369,4,2,0.2997,2,0.1403,2,0,0,0,3,0.2998,59,10.34,56,338,2,25,0.0952,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p024.txt,
CM3060_L3,25,,,CM3060_L3.pptx,pptx,42,81,490,6,2,0.3142,5,0.1512,2,0,0,0,5,0.3142,78,14.83,187,1128,24,29,0.5,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p025.txt,
CM3060_L3,26,,,CM3060_L3.pptx,pptx,42,54,336,5,2,0.3995,2,0.1728,2,0,0,0,3,0.3995,51,23.93,360,2468,50,29,0.6329,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p026.txt,
CM3060_L3,27,,,CM3060_L3.pptx,pptx,42,58,323,4,1,0.2267,2,0.0793,1,0,0,0,3,0.2267,55,9.87,52,295,2,26,0.087,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p027.txt,
CM3060_L3,28,,,CM3060_L3.pptx,pptx,42,56,348,5,1,0.2508,2,0.0866,1,0,0,0,3,0.2509,53,14.70,149,1022,28,30,0.4828,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p028.txt,
CM3060_L3,29,,,CM3060_L3.pptx,pptx,42,57,373,5,1,0.5437,2,0.1837,1,0,0,0,3,0.5438,51,9.88,50,338,2,27,0.087,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p029.txt,
CM3060_L3,30,,,CM3060_L3.pptx,pptx,42,123,754,7,0,0.0,2,0.0758,0,0,0,0,3,0.0,115,11.56,117,723,2,37,0.0588,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p030.txt,
CM3060_L3,31,,,CM3060_L3.pptx,pptx,42,85,447,3,3,0.1463,2,0.1505,1,0,0,1,3,0.0122,79,12.01,166,953,22,35,0.4,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p031.txt,
CM3060_L3,32,,,CM3060_L3.pptx,pptx,42,140,844,9,4,0.9524,80,0.4112,0,0,0,0,2,0.0,127,12.39,143,876,2,46,0.0417,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p032.txt,
CM3060_L3,33,,,CM3060_L3.pptx,pptx,42,12,84,3,1,0.9999,5,0.997,1,0,0,0,2,1.0,12,10.57,107,602,39,8,0.8298,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p033.txt,
CM3060_L3,34,,,CM3060_L3.pptx,pptx,42,162,946,3,0,0.0,2,0.0893,0,0,0,0,2,0.0,151,12.72,163,975,2,48,0.04,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p034.txt,
CM3060_L3,35,,,CM3060_L3.pptx,pptx,42,60,407,5,0,0.0,2,0.0498,0,0,0,0,2,0.0,56,9.95,63,425,2,36,0.0526,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p035.txt,
CM3060_L3,36,,,CM3060_L3.pptx,pptx,42,194,1273,2,0,0.0,2,0.1502,0,0,0,0,2,0.0,191,12.25,197,1282,2,85,0.023,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p036.txt,
CM3060_L3,37,,,CM3060_L3.pptx,pptx,42,138,890,3,0,0.0,2,0.106,0,0,0,0,2,0.0,136,11.69,141,904,2,56,0.0345,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p037.txt,
CM3060_L3,38,,,CM3060_L3.pptx,pptx,42,3,23,1,1,0.4369,2,0.2123,1,0,0,0,1,0.437,3,12.04,152,1037,66,2,0.9706,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p038.txt,
CM3060_L3,39,,,CM3060_L3.pptx,pptx,42,3,23,1,1,0.6459,2,0.1602,1,0,0,0,1,0.646,3,9.53,28,215,16,3,0.8421,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p039.txt,
CM3060_L3,40,,,CM3060_L3.pptx,pptx,42,128,902,7,0,0.0,2,0.1083,0,0,0,0,2,0.0,122,12.72,131,917,2,75,0.026,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p040.txt,
CM3060_L3,41,,,CM3060_L3.pptx,pptx,42,6,39,2,0,0.0,2,0.0093,0,0,0,0,2,0.0,5,8.85,9,59,2,4,0.3333,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p041.txt,
CM3060_L3,42,,,CM3060_L3.pptx,pptx,42,24,134,2,1,0.5641,2,0.5615,1,0,0,0,2,0.5642,21,10.51,88,543,30,12,0.7143,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM3060_L3_p042.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,1,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,62,425,5,1,0.0055,2,0.0613,1,0,0,0,2,0.0055,62,11.68,65,443,2,32,0.0588,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p001.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,2,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,30,192,3,1,0.0055,2,0.0293,1,0,0,0,2,0.0055,30,6.73,33,210,2,15,0.1176,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p002.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,3,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,201,2104,14,3,0.4204,2,0.2594,3,0,0,0,2,0.4205,201,10.71,173,1066,57,69,0.9048,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p003.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,4,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,205,2131,16,3,0.2495,6,0.1134,3,0,0,0,3,0.2496,205,12.93,213,1289,61,73,0.7922,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p004.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,5,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,957,8496,43,2,0.1457,4,0.1528,2,0,0,0,6,0.1457,956,13.99,188,1588,28,293,0.2617,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p005.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,6,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,439,3232,17,4,0.2058,4,0.2346,4,0,0,0,4,0.2059,714,9.44,103,639,32,118,0.5818,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p006.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,7,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,363,3475,26,3,0.1492,2,0.2078,3,0,0,0,3,0.1493,426,11.98,153,964,21,103,0.3818,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p007.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,8,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,5,23,2,2,0.715,2,0.0575,2,0,0,0,1,0.7151,5,10.46,172,920,60,2,0.9677,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p008.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,9,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,30,208,3,1,0.0055,2,0.0312,1,0,0,0,2,0.0055,30,6.47,33,226,2,18,0.1,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p009.txt,
CM2030_GP_PPT3-CourseraWeeks5&6,10,,,CM2030_GP_PPT3-CourseraWeeks5&6.pptx,pptx,22,5,23,2,5,0.606,2,0.3718,5,0,0,0,1,0.6062,5,7.56,140,787,49,2,0.9608,qwen2.5vl:7b,stop,outputs\c3_heldout\vision\CM2030_GP_PPT3-CourseraWeeks5_6_p010.txt,
